test,present,build_status,compile,assemble,link,isa_audit,execution,mnemonic,category,support,count
add,True,linked,pass,pass,pass,unsupported,skipped_unsupported,add,arithmetic,supported,2
add,True,linked,pass,pass,pass,unsupported,skipped_unsupported,addi,arithmetic,supported,18
add,True,linked,pass,pass,pass,unsupported,skipped_unsupported,auipc,other,supported,8
add,True,linked,pass,pass,pass,unsupported,skipped_unsupported,beq,branch,supported,1
add,True,linked,pass,pass,pass,unsupported,skipped_unsupported,bne,branch,supported,2
add,True,linked,pass,pass,pass,unsupported,skipped_unsupported,ebreak,other,supported,1
add,True,linked,pass,pass,pass,unsupported,skipped_unsupported,jalr,jump,supported,8
add,True,linked,pass,pass,pass,unsupported,skipped_unsupported,lui,other,supported,2
add,True,linked,pass,pass,pass,unsupported,skipped_unsupported,lw,load/store,supported,12
add,True,linked,pass,pass,pass,unsupported,skipped_unsupported,sltiu,comparison,supported,1
add,True,linked,pass,pass,pass,unsupported,skipped_unsupported,sub,arithmetic,unsupported,1
add,True,linked,pass,pass,pass,unsupported,skipped_unsupported,sw,load/store,supported,11
bit,True,linked,pass,pass,pass,unsupported,skipped_unsupported,add,arithmetic,supported,2
bit,True,linked,pass,pass,pass,unsupported,skipped_unsupported,addi,arithmetic,supported,53
bit,True,linked,pass,pass,pass,unsupported,skipped_unsupported,and,logical,unsupported,2
bit,True,linked,pass,pass,pass,unsupported,skipped_unsupported,andi,logical,unsupported,7
bit,True,linked,pass,pass,pass,unsupported,skipped_unsupported,auipc,other,supported,26
bit,True,linked,pass,pass,pass,unsupported,skipped_unsupported,beq,branch,supported,1
bit,True,linked,pass,pass,pass,unsupported,skipped_unsupported,bne,branch,supported,1
bit,True,linked,pass,pass,pass,unsupported,skipped_unsupported,ebreak,other,supported,1
bit,True,linked,pass,pass,pass,unsupported,skipped_unsupported,jalr,jump,supported,32
bit,True,linked,pass,pass,pass,unsupported,skipped_unsupported,lbu,load/store,supported,4
bit,True,linked,pass,pass,pass,unsupported,skipped_unsupported,lui,other,supported,2
bit,True,linked,pass,pass,pass,unsupported,skipped_unsupported,lw,load/store,supported,4
bit,True,linked,pass,pass,pass,unsupported,skipped_unsupported,or,logical,unsupported,1
bit,True,linked,pass,pass,pass,unsupported,skipped_unsupported,sb,load/store,supported,4
bit,True,linked,pass,pass,pass,unsupported,skipped_unsupported,sll,shift,unsupported,2
bit,True,linked,pass,pass,pass,unsupported,skipped_unsupported,sltiu,comparison,supported,1
bit,True,linked,pass,pass,pass,unsupported,skipped_unsupported,sltu,comparison,unsupported,1
bit,True,linked,pass,pass,pass,unsupported,skipped_unsupported,srai,shift,unsupported,2
bit,True,linked,pass,pass,pass,unsupported,skipped_unsupported,sw,load/store,supported,3
bit,True,linked,pass,pass,pass,unsupported,skipped_unsupported,xori,logical,unsupported,5
fact,True,fail,pass,pass,fail,not_run,not_run,,,,
fib,True,linked,pass,pass,pass,unsupported,skipped_unsupported,add,arithmetic,supported,1
fib,True,linked,pass,pass,pass,unsupported,skipped_unsupported,addi,arithmetic,supported,12
fib,True,linked,pass,pass,pass,unsupported,skipped_unsupported,auipc,other,supported,6
fib,True,linked,pass,pass,pass,unsupported,skipped_unsupported,beq,branch,supported,1
fib,True,linked,pass,pass,pass,unsupported,skipped_unsupported,bne,branch,supported,1
fib,True,linked,pass,pass,pass,unsupported,skipped_unsupported,ebreak,other,supported,1
fib,True,linked,pass,pass,pass,unsupported,skipped_unsupported,jalr,jump,supported,6
fib,True,linked,pass,pass,pass,unsupported,skipped_unsupported,lui,other,supported,2
fib,True,linked,pass,pass,pass,unsupported,skipped_unsupported,lw,load/store,supported,6
fib,True,linked,pass,pass,pass,unsupported,skipped_unsupported,sltiu,comparison,supported,1
fib,True,linked,pass,pass,pass,unsupported,skipped_unsupported,sub,arithmetic,unsupported,1
fib,True,linked,pass,pass,pass,unsupported,skipped_unsupported,sw,load/store,supported,5
if-else,True,linked,pass,pass,pass,unsupported,skipped_unsupported,addi,arithmetic,supported,27
if-else,True,linked,pass,pass,pass,unsupported,skipped_unsupported,andi,logical,unsupported,2
if-else,True,linked,pass,pass,pass,unsupported,skipped_unsupported,auipc,other,supported,6
if-else,True,linked,pass,pass,pass,unsupported,skipped_unsupported,beq,branch,supported,1
if-else,True,linked,pass,pass,pass,unsupported,skipped_unsupported,blt,branch,unsupported,6
if-else,True,linked,pass,pass,pass,unsupported,skipped_unsupported,bne,branch,supported,1
if-else,True,linked,pass,pass,pass,unsupported,skipped_unsupported,ebreak,other,supported,1
if-else,True,linked,pass,pass,pass,unsupported,skipped_unsupported,jalr,jump,supported,8
if-else,True,linked,pass,pass,pass,unsupported,skipped_unsupported,lui,other,supported,2
if-else,True,linked,pass,pass,pass,unsupported,skipped_unsupported,lw,load/store,supported,5
if-else,True,linked,pass,pass,pass,unsupported,skipped_unsupported,slt,comparison,unsupported,2
if-else,True,linked,pass,pass,pass,unsupported,skipped_unsupported,sltiu,comparison,supported,1
if-else,True,linked,pass,pass,pass,unsupported,skipped_unsupported,sub,arithmetic,unsupported,3
if-else,True,linked,pass,pass,pass,unsupported,skipped_unsupported,sw,load/store,supported,4
load-store,True,linked,pass,pass,pass,unsupported,skipped_unsupported,add,arithmetic,supported,1
load-store,True,linked,pass,pass,pass,unsupported,skipped_unsupported,addi,arithmetic,supported,24
load-store,True,linked,pass,pass,pass,unsupported,skipped_unsupported,auipc,other,supported,14
load-store,True,linked,pass,pass,pass,unsupported,skipped_unsupported,beq,branch,supported,1
load-store,True,linked,pass,pass,pass,unsupported,skipped_unsupported,bne,branch,supported,3
load-store,True,linked,pass,pass,pass,unsupported,skipped_unsupported,ebreak,other,supported,1
load-store,True,linked,pass,pass,pass,unsupported,skipped_unsupported,jalr,jump,supported,10
load-store,True,linked,pass,pass,pass,unsupported,skipped_unsupported,lbu,load/store,supported,12
load-store,True,linked,pass,pass,pass,unsupported,skipped_unsupported,lh,load/store,unsupported,1
load-store,True,linked,pass,pass,pass,unsupported,skipped_unsupported,lhu,load/store,unsupported,1
load-store,True,linked,pass,pass,pass,unsupported,skipped_unsupported,lui,other,supported,2
load-store,True,linked,pass,pass,pass,unsupported,skipped_unsupported,lw,load/store,supported,13
load-store,True,linked,pass,pass,pass,unsupported,skipped_unsupported,or,logical,unsupported,9
load-store,True,linked,pass,pass,pass,unsupported,skipped_unsupported,sh,load/store,unsupported,1
load-store,True,linked,pass,pass,pass,unsupported,skipped_unsupported,sll,shift,unsupported,1
load-store,True,linked,pass,pass,pass,unsupported,skipped_unsupported,slli,shift,unsupported,10
load-store,True,linked,pass,pass,pass,unsupported,skipped_unsupported,sltiu,comparison,supported,6
load-store,True,linked,pass,pass,pass,unsupported,skipped_unsupported,srli,shift,unsupported,1
load-store,True,linked,pass,pass,pass,unsupported,skipped_unsupported,sub,arithmetic,unsupported,6
load-store,True,linked,pass,pass,pass,unsupported,skipped_unsupported,sw,load/store,supported,8
load-store,True,linked,pass,pass,pass,unsupported,skipped_unsupported,xori,logical,unsupported,1
max,True,linked,pass,pass,pass,unsupported,skipped_unsupported,addi,arithmetic,supported,20
max,True,linked,pass,pass,pass,unsupported,skipped_unsupported,auipc,other,supported,8
max,True,linked,pass,pass,pass,unsupported,skipped_unsupported,beq,branch,supported,1
max,True,linked,pass,pass,pass,unsupported,skipped_unsupported,bge,branch,unsupported,2
max,True,linked,pass,pass,pass,unsupported,skipped_unsupported,bne,branch,supported,2
max,True,linked,pass,pass,pass,unsupported,skipped_unsupported,ebreak,other,supported,1
max,True,linked,pass,pass,pass,unsupported,skipped_unsupported,jalr,jump,supported,8
max,True,linked,pass,pass,pass,unsupported,skipped_unsupported,lui,other,supported,2
max,True,linked,pass,pass,pass,unsupported,skipped_unsupported,lw,load/store,supported,12
max,True,linked,pass,pass,pass,unsupported,skipped_unsupported,sltiu,comparison,supported,1
max,True,linked,pass,pass,pass,unsupported,skipped_unsupported,sub,arithmetic,unsupported,1
max,True,linked,pass,pass,pass,unsupported,skipped_unsupported,sw,load/store,supported,11
min3,True,linked,pass,pass,pass,unsupported,skipped_unsupported,add,arithmetic,supported,1
